Unnamed: 0,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,elim_week_result,is_withdrew,is_place,season_max_week,last_week_positive,active_until,week1_q_hat,week2_q_hat,week3_q_hat,week4_q_hat,week5_q_hat,week6_q_hat,week7_q_hat,week8_q_hat,week9_q_hat,week10_q_hat,week11_q_hat,week1_p_mean,week2_p_mean,week3_p_mean,week4_p_mean,week5_p_mean,week6_p_mean,week7_p_mean,week8_p_mean,week9_p_mean,week10_p_mean,week11_p_mean
0,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,False,True,6,6,6.0,0.07682956755161285,0.002134134294465184,0.22018547356128693,0.4050159156322479,0.0019137582276016474,,,,,,,0.07506445158456015,0.0015409405949545706,0.2301141570017328,0.41832357263112974,0.002608966347662975,,,,,,
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,False,True,6,6,6.0,0.4961692690849304,0.3117809295654297,0.28308868408203125,0.006594775710254908,0.39355260133743286,,,,,,,0.49702274518262785,0.31642792321074925,0.2968409200570149,0.006629450167066531,0.39161011250326044,,,,,,
2,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5.0,7.0,6.0,,5.0,4.0,5.0,,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,False,False,6,3,3.0,0.2074931412935257,0.13796478509902954,0.12690888345241547,,,,,,,,,0.20808996283621717,0.148990866315532,0.09127148205508806,,,,,,,,
3,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,6,4,4.0,0.04506247118115425,0.09353668242692947,0.0007895195158198476,0.052642010152339935,,,,,,,,0.04499234256796353,0.09813945552900687,0.0006368719653454971,0.037145690974916296,,,,,,,
4,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,6,5,6.0,0.10221309959888458,0.40836676955223083,0.36902737617492676,0.5357471704483032,0.6045336127281189,,,,,,,0.10315778356482547,0.4037176161063535,0.381136568920818,0.5379012862268872,0.605780921149076,,,,,,
5,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,6.0,6.0,6.0,,6.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,6,2,2.0,0.07223246991634369,0.046216681599617004,,,,,,,,,,0.0716727142638069,0.031183198243403515,,,,,,,,,
6,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7.0,8.0,8.0,,5.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,8,2,2.0,0.013237593695521355,0.01725025288760662,,,,,,,,,,0.011534728002849862,0.011793948971670163,,,,,,,,,
7,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6.0,7.0,7.0,,7.0,8.0,7.0,,9.0,8.0,9.0,,9.0,8.0,8.0,,7.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,False,False,8,5,5.0,0.08082209527492523,0.08153916150331497,0.08081163465976715,0.09063225984573364,0.08131207525730133,,,,,,,0.08161457789152267,0.08429249062298311,0.08606668892966392,0.09693054172770192,0.05395509918573083,,,,,,
8,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7.0,5.0,6.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,6.0,False,False,8,6,6.0,0.11581795662641525,0.11684339493513107,0.14468909800052643,0.13268093764781952,0.11643951386213303,0.19001099467277527,,,,,,0.1189916452455318,0.11618595981973265,0.14938670562540593,0.1431312172366058,0.12824839270525293,0.13950202932174108,,,,,
9,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5.0,7.0,7.0,,6.0,7.0,7.0,,8.0,8.0,9.0,,9.0,9.0,8.0,,7.0,9.0,9.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,,,,,,,,,,,,,,,,,7.0,False,False,8,7,7.0,0.18919596076011658,0.19087649881839752,0.22935187816619873,0.16698616743087769,0.18933449685573578,0.30100563168525696,0.30295076966285706,,,,,0.18990332354088713,0.19115568892390886,0.23156957341926454,0.1735437944923722,0.19722561975026837,0.32736030434674385,0.23511731072694847,,,,
