Unnamed: 0,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,elim_week_result,is_withdrew,is_place,season_max_week,last_week_positive,active_until,week1_p_mean,week2_p_mean,week3_p_mean,week4_p_mean,week5_p_mean,week6_p_mean,week7_p_mean,week8_p_mean,week9_p_mean,week10_p_mean,week11_p_mean,week1_judge_score,week2_judge_score,week3_judge_score,week4_judge_score,week5_judge_score,week6_judge_score,week7_judge_score,week8_judge_score,week9_judge_score,week10_judge_score,week11_judge_score
0,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,False,True,6,6,6.0,0.0750644515845601,0.0015409405949545,0.2301141570017328,0.4183235726311297,0.0026089663476629,,,,,,,0.0023157533381815945,0.0028824833702882483,0.0027344196301433126,0.0024871202700302007,0.003459875060067275,0.0035124253086010375,,,,,
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,False,True,6,6,6.0,0.4970227451826278,0.3164279232107492,0.2968409200570149,0.0066294501670665,0.3916101125032604,,,,,,,0.0015052396698180363,0.00188470066518847,0.0023926171763753983,0.003079291762894534,0.003011372737465962,0.0035774702217232788,,,,,
2,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5.0,7.0,6.0,,5.0,4.0,5.0,,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,False,False,6,3,3.0,0.2080899628362171,0.148990866315532,0.091271482055088,,,,,,,,,0.002084178004363435,0.0015521064301552106,0.0014811439663276276,,,,,,,,
3,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,6,4,4.0,0.0449923425679635,0.0981394555290068,0.0006368719653454,0.0371456909749162,,,,,,,,0.0023157533381815945,0.0026607538802660754,0.002962287932655255,0.0029608574643216674,,,,,,,
4,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,6,5,6.0,0.1031577835648254,0.4037176161063535,0.381136568920818,0.5379012862268872,0.605780921149076,,,,,,,0.0023157533381815945,0.002328159645232816,0.00250655132763137,0.002368685971457334,0.0028832292167227293,,,,,,
5,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,6.0,6.0,6.0,,6.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,6,2,2.0,0.0716727142638069,0.0311831982434035,,,,,,,,,,0.002084178004363435,0.0021064301552106432,,,,,,,,,
6,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7.0,8.0,8.0,,5.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,8,2,2.0,0.0115347280028498,0.0117939489716701,,,,,,,,,,0.0026631163389088334,0.00188470066518847,,,,,,,,,
7,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6.0,7.0,7.0,,7.0,8.0,7.0,,9.0,8.0,9.0,,9.0,8.0,8.0,,7.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,False,False,8,5,5.0,0.0816145778915226,0.0842924906229831,0.0860666889296639,0.0969305417277019,0.0539550991857308,,,,,,,0.0023157533381815945,0.0024390243902439024,0.002962287932655255,0.0029608574643216674,0.0028191574563511132,,,,,,
8,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7.0,5.0,6.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,6.0,False,False,8,6,6.0,0.1189916452455318,0.1161859598197326,0.1493867056254059,0.1431312172366058,0.1282483927052529,0.139502029321741,,,,,,0.002084178004363435,0.0024390243902439024,0.00250655132763137,0.0024871202700302007,0.003075444497837578,0.002992066003623106,,,,,
9,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5.0,7.0,7.0,,6.0,7.0,7.0,,8.0,8.0,9.0,,9.0,9.0,8.0,,7.0,9.0,9.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,,,,,,,,,,,,,,,,,7.0,False,False,8,7,7.0,0.1899033235408871,0.1911556889239088,0.2315695734192645,0.1735437944923722,0.1972256197502683,0.3273603043467438,0.2351173107269484,,,,,0.0021999656712725145,0.0022172949002217295,0.002848353781399284,0.003079291762894534,0.0032035880185808103,0.0035124253086010375,0.003904811424647167,,,,
