,season,elim_at_end_of_week,eliminated,is_final_week_end
0,1,2,['Trista Sutter'],False
1,1,3,['Evander Holyfield'],False
2,1,4,['Rachel Hunter'],False
3,1,6,"['Joey McIntyre', ""John O'Hurley"", 'Kelly Monaco']",True
4,2,1,['Kenny Mayne'],False
5,2,2,"[""Tatum O'Neal""]",False
6,2,3,['Giselle Fernandez'],False
7,2,4,['Master P'],False
8,2,5,['Tia Carrere'],False
9,2,6,['George Hamilton'],False
10,2,7,['Lisa Rinna'],False
11,2,8,"['Drew Lachey', 'Jerry Rice', 'Stacy Keibler']",True
12,3,1,['Tucker Carlson'],False
13,3,2,['Shanna Moakler'],False
14,3,3,['Harry Hamlin'],False
15,3,4,['Vivica A. Fox'],False
16,3,5,"['Sara Evans', 'Willa Ford']",False
17,3,7,['Jerry Springer'],False
18,3,8,['Monique Coleman'],False
19,3,10,"['Emmitt Smith', 'Joey Lawrence', 'Mario Lopez']",True
20,4,2,['Paulina Porizkova'],False
21,4,3,['Shandi Finnessey'],False
22,4,4,['Leeza Gibbons'],False
23,4,5,['Clyde Drexler'],False
24,4,6,['Heather Mills'],False
25,4,7,['John Ratzenberger'],False
26,4,8,['Billy Ray Cyrus'],False
27,4,9,['Ian Ziering'],False
28,4,10,"['Apolo Anton Ohno', 'Joey Fatone', 'Laila Ali']",True
29,5,1,['Josie Maran'],False
30,5,2,['Albert Reed'],False
31,5,3,['Wayne Newton'],False
32,5,4,['Floyd Mayweather Jr.'],False
33,5,5,['Mark Cuban'],False
34,5,6,['Sabrina Bryan'],False
35,5,7,['Jane Seymour'],False
36,5,8,['Cameron Mathison'],False
37,5,9,['Jennie Garth'],False
38,5,10,"['Helio Castroneves', 'Marie Osmond', 'Mel B']",True
39,6,2,"['Monica Seles', 'Penn Jillette']",False
40,6,3,['Steve Guttenberg'],False
41,6,4,['Adam Carolla'],False
42,6,5,['Priscilla Presley'],False
43,6,6,['Marlee Matlin'],False
44,6,7,['Shannon Elizabeth'],False
45,6,8,['Mario'],False
46,6,9,['Marissa Jaret Winokur'],False
47,6,10,"['Cristian de la Fuente', 'Jason Taylor', 'Kristi Yamaguchi']",True
48,7,1,"['Jeffrey Ross', 'Ted McGinley']",False
49,7,2,"['Kim Kardashian', 'Misty May-Treanor']",False
50,7,4,['Rocco DiSpirito'],False
51,7,5,['Toni Braxton'],False
52,7,6,['Cloris Leachman'],False
53,7,7,['Susan Lucci'],False
54,7,8,['Maurice Greene'],False
55,7,9,['Cody Linley'],False
