,season,celebrity_name,week,total_judge_score,mean_judge_score,n_judges_scored,performed,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,results,placement,season_max_week,active_until,elim_week_result,is_withdrew,is_place,eligible,judge_rank,judge_percent
0,1,Evander Holyfield,1,18.0,6.0,3,True,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,6,3.0,3.0,False,False,True,4.5,0.1651376146788991
1,1,Evander Holyfield,2,14.0,4.666666666666667,3,True,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,6,3.0,3.0,False,False,True,6.0,0.11570247933884298
2,1,Evander Holyfield,3,13.0,4.333333333333333,3,True,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,6,3.0,3.0,False,False,True,5.0,0.12264150943396226
3,1,Evander Holyfield,4,,,0,False,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,6,3.0,3.0,False,False,False,,
4,1,Evander Holyfield,5,,,0,False,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,6,3.0,3.0,False,False,False,,
5,1,Evander Holyfield,6,,,0,False,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,6,3.0,3.0,False,False,False,,
6,1,Joey McIntyre,1,20.0,6.666666666666667,3,True,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,6,6.0,,False,True,True,2.0,0.1834862385321101
7,1,Joey McIntyre,2,21.0,7.0,3,True,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,6,6.0,,False,True,True,3.0,0.17355371900826447
8,1,Joey McIntyre,3,22.0,7.333333333333333,3,True,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,6,6.0,,False,True,True,3.0,0.20754716981132076
9,1,Joey McIntyre,4,20.0,6.666666666666667,3,True,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,6,6.0,,False,True,True,4.0,0.21739130434782608
10,1,Joey McIntyre,5,22.5,7.5,3,True,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,6,6.0,,False,True,True,3.0,0.3082191780821918
11,1,Joey McIntyre,6,,,0,False,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,6,6.0,,False,True,True,,
12,1,John O'Hurley,1,20.0,6.666666666666667,3,True,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,6,6.0,,False,True,True,2.0,0.1834862385321101
13,1,John O'Hurley,2,26.0,8.666666666666666,3,True,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,6,6.0,,False,True,True,1.0,0.21487603305785125
14,1,John O'Hurley,3,24.0,8.0,3,True,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,6,6.0,,False,True,True,2.0,0.22641509433962265
15,1,John O'Hurley,4,21.0,7.0,3,True,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,6,6.0,,False,True,True,3.0,0.22826086956521738
16,1,John O'Hurley,5,27.0,9.0,3,True,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,6,6.0,,False,True,True,1.0,0.3698630136986301
17,1,John O'Hurley,6,27.0,9.0,3,True,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,6,6.0,,False,True,True,2.0,0.4954128440366973
18,1,Kelly Monaco,1,13.0,4.333333333333333,3,True,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,6,6.0,,False,True,True,6.0,0.11926605504587157
19,1,Kelly Monaco,2,17.0,5.666666666666667,3,True,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,6,6.0,,False,True,True,5.0,0.14049586776859505
20,1,Kelly Monaco,3,21.0,7.0,3,True,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,6,6.0,,False,True,True,4.0,0.19811320754716982
21,1,Kelly Monaco,4,26.0,8.666666666666666,3,True,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,6,6.0,,False,True,True,1.0,0.2826086956521739
22,1,Kelly Monaco,5,23.5,7.833333333333333,3,True,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,6,6.0,,False,True,True,2.0,0.3219178082191781
23,1,Kelly Monaco,6,27.5,9.166666666666666,3,True,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,6,6.0,,False,True,True,1.0,0.5045871559633027
