season,celebrity_name,baseline_mode,p_b2,p_rev_given_b2,p_rev,dE_T,dP_finals,n_weeks,B,denom_b2,Tmax,unit_type,unit_id,n_units,p_b2_mean,p_b2_median,p_rev_given_b2_mean,p_rev_given_b2_median,p_rev_mean,p_rev_median,dE_T_mean,dE_T_median,dP_finals_mean,dP_finals_median
27.0,Bobby Bones,rank,0.20833333333333334,0.3376,0.35233333333333333,-1.1783333333333337,-0.275,5.0,600.0,625.0,9.0,individual,Bobby Bones,,,,,,,,,,,
11.0,Bristol Palin,rank,0.4025925925925926,0.3978840846366145,0.2114814814814815,-0.9416666666666664,-0.006666666666666667,9.0,600.0,2174.0,10.0,individual,Bristol Palin,,,,,,,,,,,
4.0,Billy Ray Cyrus,rank,0.4154761904761905,0.20630372492836677,0.24571428571428572,-0.5066666666666668,-0.005,7.0,600.0,1745.0,10.0,individual,Billy Ray Cyrus,,,,,,,,,,,
2.0,Jerry Rice,rank,0.2876190476190476,0.1423841059602649,0.25642857142857145,-2.1366666666666667,-0.04,7.0,600.0,1208.0,8.0,individual,Jerry Rice,,,,,,,,,,,
27.0,Tinashe,rank,0.0033333333333333335,0.0,0.35291666666666666,0.025000000000000355,0.0050000000000000044,4.0,600.0,8.0,9.0,individual,Tinashe,,,,,,,,,,,
31.0,Vinny Guadagnino,rank,0.17916666666666667,0.6310077519379845,0.21166666666666667,-1.88,-0.32833333333333337,6.0,600.0,645.0,10.0,individual,Vinny Guadagnino,,,,,,,,,,,
27.0,Bobby Bones,pct,0.08933333333333333,0.5597014925373134,0.4126666666666667,-0.7000000000000002,-0.15000000000000002,5.0,600.0,268.0,9.0,individual,Bobby Bones,,,,,,,,,,,
11.0,Bristol Palin,pct,0.16,0.6979166666666666,0.37296296296296294,-0.9466666666666663,-0.17,9.0,600.0,864.0,10.0,individual,Bristol Palin,,,,,,,,,,,
4.0,Billy Ray Cyrus,pct,0.3438095238095238,0.42105263157894735,0.4488095238095238,-0.79,-0.07,7.0,600.0,1444.0,10.0,individual,Billy Ray Cyrus,,,,,,,,,,,
2.0,Jerry Rice,pct,0.16547619047619047,0.34388489208633094,0.38976190476190475,-1.04,-0.22166666666666665,7.0,600.0,695.0,8.0,individual,Jerry Rice,,,,,,,,,,,
27.0,Tinashe,pct,0.37666666666666665,0.45464601769911506,0.40041666666666664,3.4033333333333333,0.585,4.0,600.0,904.0,9.0,individual,Tinashe,,,,,,,,,,,
31.0,Vinny Guadagnino,pct,0.07444444444444444,0.5447761194029851,0.11444444444444445,-1.1466666666666656,-0.21666666666666667,6.0,600.0,268.0,10.0,individual,Vinny Guadagnino,,,,,,,,,,,
,,rank,,,,,,,,,,group,balanced,6.0,0.24942019400352736,0.24797619047619046,0.2858632779105385,0.2719518624641834,0.27175683421516755,0.2510714285714286,-1.1030555555555555,-1.06,-0.10833333333333334,-0.023333333333333334
,,pct,,,,,,,,,,group,balanced,6.0,0.20162169312169312,0.16273809523809524,0.5036629699952264,0.4997110685510501,0.35651036155202825,0.3950892857142857,-0.20333333333333314,-0.8683333333333332,-0.04055555555555557,-0.16000000000000003
