season,celebrity_name,scheme,mean_rank,mean_alive_rate,final_alive_rate
2,Jerry Rice,S1,3.1004359366604195,0.8795833333333334,0.12666666666666668
2,Jerry Rice,S2,3.094768293171771,0.87375,0.11
2,Jerry Rice,S3,3.131026374703972,0.95,0.8633333333333333
4,Billy Ray Cyrus,S1,4.906063140407969,0.5458333333333333,0.0
4,Billy Ray Cyrus,S2,4.912138171163684,0.55375,0.0
4,Billy Ray Cyrus,S3,4.57709128281929,0.7751851851851852,0.27
11,Bristol Palin,S1,3.903071559375359,0.6859999999999999,0.01
11,Bristol Palin,S2,3.8991676113228158,0.6856666666666666,0.056666666666666664
11,Bristol Palin,S3,3.8899995936195273,0.876,0.6266666666666667
27,Bobby Bones,S1,5.234763090408608,0.5951851851851852,0.05
27,Bobby Bones,S2,5.22310177988685,0.6059259259259259,0.06333333333333334
27,Bobby Bones,S3,5.224792677593904,0.7114814814814815,0.31333333333333335
27,Tinashe,S1,5.857425680454501,0.8288888888888889,0.05333333333333334
27,Tinashe,S2,5.854768155613621,0.8333333333333334,0.08
27,Tinashe,S3,5.862131895881896,0.7259259259259259,0.0033333333333333335
31,Vinny Guadagnino,S1,7.676123297835308,0.6603333333333333,0.06333333333333334
31,Vinny Guadagnino,S2,7.658229299107982,0.6643333333333333,0.12
31,Vinny Guadagnino,S3,7.574468895192825,0.8,0.38
